"","long","lat","el","dc","air_temp","smb","rating"
"6662831",23.6015,-70.6948,72,18.8914214687084,272.730476996809,567.916056,1
"6759065",23.61613,-70.71403,109,21.09117882274,272.724955539945,546.234041,1
"6882131",23.61501,-70.74174,149,24.0324994898148,272.711377021561,565.2073,1
"7005492",23.61751,-70.76945,204,27.0366674431926,272.676891611049,580.256493,1
"7128706",23.61784,-70.79639,251,29.9557895315198,272.647658325444,621.5688,1
"7251868",23.62805,-70.82304,286.5,32.9305975781101,272.612055596932,413.17293,1
"7366135",23.61793,-70.84932,308.5,35.7242606186084,272.562986700327,683.629103,1
"7489182",23.61766,-70.87641,330.5,38.6769060297949,272.500927374553,522.762576,1
"7603772",23.61629,-70.90292,357.5,41.5503201721312,272.423930589687,499.94184,1
"7727939",23.615,-70.93002,374.5,44.4854316008405,272.325248396111,580.568413,1
"7853089",23.61583,-70.95666,394,47.3884644572639,272.204897962692,549.419633,1
"7969563",23.61367,-70.98345,406,50.2879444603123,272.055407512518,411.095103,1
"8095263",23.61454,-71.01055,414,53.2507192015478,271.871279997142,494.038136,1
"8221206",23.61539,-71.03796,420,56.2452218129496,271.646029946777,427.827414,1
"8347430",23.6159,-71.06564,426,59.2582207466829,271.192937625533,561.78338,1
"8474020",23.61446,-71.09344,432.5,62.2760363327524,270.841461285046,437.47123,1
"8600867",23.61243,-71.12047,441.5,65.2127167672929,270.451421061437,376.538214,1
"8728029",23.61263,-71.14763,454.5,68.1732647124069,270.013738926934,444.22044,1
"8855313",23.61326,-71.17539,473.5,71.2053773498216,269.523892710405,564.077756,1
"8982510",23.61147,-71.20245,499.5,74.1496236200982,269.013180500732,531.597871,1
"9110145",23.61178,-71.2296,524.5,77.1219418403674,268.478742127109,315.278025,1
"9238210",23.6119,-71.25684,567,80.1064609605654,267.933201964494,342.249703,1
"9357761",23.6112,-71.28332,602,83.0060507855142,267.407098699005,235.871727,1
"9496018",23.61211,-71.31177,648,86.1340531830735,266.860298712951,257.388995,1
"9625295",23.61432,-71.33912,700,89.150714957838,266.36453496608,247.34634,1
"9755191",23.6113,-71.3663,736,92.1229037756795,265.911274935514,248.827099,1
"9875917",23.61134,-71.39329,765,95.0928573335661,265.267865714778,161.015173,1
"10145468",23.60912,-71.44984,803,101.310693026058,264.628818034812,96.91448,1
"10275506",23.61142,-71.47672,805,104.284506035575,264.391131211955,318.483528,1
"10405730",23.61125,-71.50329,815,107.213992671997,264.1938915392,243.475664,1
"10526834",23.60818,-71.52989,873,110.135658038884,264.029858932481,220.128694,1
"10658131",23.60744,-71.55688,928,113.112062926493,263.891095186177,459.509529,1
"10780897",23.60482,-71.58401,970,116.097656293766,263.776637960222,228.678729,1
"10913350",23.6011,-71.61075,998,119.037561018238,263.68404040289,156.905248,1
"11045973",23.5976,-71.63856,1007,122.098396658848,263.604413264536,418.566515,1
"11169386",23.59504,-71.666,1048,125.119960504061,263.538786221597,536.962279,1
"11311932",23.6011,-71.69412,1122,128.250496781653,263.452501267522,723.357287,1
"56518432",59.705,-68.62233,1835,133.896953162489,256.705254301806,135,1
"58208461",60.255,-68.646,1858.5,131.592613657047,256.835053005214,270,1
"60800855",61.120129,-68.654296,1842,123.479476939867,257.61881785304,153,1
"316007137",126.93782,-68.97299,2188,217.155307161167,255.798352007954,278.2,1
"305557594",121.80698,-69.00395,2050.5,244.230976497275,258.559728902008,241.6,1
"311602349",124.33405,-69.00769,2235.5,251.104188700417,256.390728343637,258.25,1
"308767208",123.05716,-69.0094,2158,248.275614848842,257.378599578872,198.6,1
"301853353",120.5642,-69.0142,1996,235.231439133946,259.439076600181,308.6,1
"238555000",-119.516666,-80.016666,1521.5,565.393210730111,259.667924065323,117,1
"238555000.1",-119.516666,-80.016666,1521.5,565.393210730111,259.667924065323,67,1
"88188687",-53.14083,-77.19389,39.5,381.162442386825,264.166510575247,189,1
"95493313",-56.05933,-77.35783,45.5,354.844862940513,261.364077963229,199,1
"99249726",-55.97833,-77.9375,48.5,413.492309505395,260.601982334628,166,1
"105602044",-58.69056,-78.03361,47.5,403.503817438614,260.366658421183,176,1
"108216882",-57.8475,-78.72167,53.5,465.157043848978,259.75828379605,156,1
"128914870",-60.61472,-81.46306,108,546.366424086002,257.991057885798,92,1
"125926664",-57.917,-81.617,116.5,512.778144520558,258.128940740825,89,1
"239478707",-120,-80,1502,568.089959024653,259.688120338023,102.704,1
"70838124",57.302056,-72.824579,2707,605.618415366182,247.877620855282,130,1
"70855813",57.26894,-72.840775,2713,607.545358559565,247.635932978873,132.385,1
"70855803",57.235824,-72.85697,2720,609.473686861746,247.628973930454,87.7725,1
"70855792",57.202709,-72.873166,2724,611.403595241403,247.619411475828,51.4395,1
"70873483",57.169593,-72.889362,2722,613.334961420546,247.607215255944,89.01,1
"70873472",57.136477,-72.905557,2723,615.267650359494,247.592431608285,56.581,1
"70873462",57.103361,-72.921753,2728,617.201862016825,247.575175974897,81.67075,1
"70891157",57.070246,-72.937948,2733,619.1373514626,247.555620312793,83.121,1
"70891147",57.03713,-72.954144,2733,621.074328247117,247.533987915424,13.699,1
"70891136",57.004014,-72.97034,2727,623.012658093726,247.510544252188,110.25075,1
"70908836",56.970898,-72.986535,2725,624.952211662059,247.485585899361,71.103,1
"70908825",56.937783,-73.002731,2734,626.893184935241,247.459432523469,131.2,1
"70926529",56.904667,-73.018926,2744,628.835348751962,247.432408418226,91.1225,1
"70926518",56.871551,-73.035122,2746,630.778607151702,247.404838577481,83.845,1
"70926508",56.838436,-73.051318,2741,632.722387102646,247.377029656999,74.029,1
"70961937",56.813642,-73.068884,2736,634.776129657616,247.357579454744,99.796,1
"70997378",56.788849,-73.08645,2732,636.830323701047,247.338475084277,114.444,1
"71032834",56.764055,-73.104017,2729,638.88508066364,247.320034792712,55.488,1
"71068307",56.739262,-73.121583,2730,640.940162442725,247.302538402286,81.09475,1
"71103789",56.714468,-73.13915,2733,642.99579060373,247.286208192983,37.95275,1
"71139280",56.689675,-73.156716,2733,645.051727205557,247.24706725999,99.40975,1
"71174779",56.664881,-73.174283,2723,647.108194063557,247.236531135637,135.604,1
"71210292",56.640088,-73.191849,2716,649.16495339453,247.227032600078,96.425,1
